sub001_og_fw_lap6.txt
Scaling.Coef.Hip	1.300000	Scaling.Coef.Knee	1.000000	Start.Time	0.000000	End.Time	21.490000
ave.x	ave.y	ave.z	ave.angle.1	ave.angle.2	ave.angle.3	ave.angle.4	target.x	target.y	target.z	target.angle.1	target.angle.2	target.angle.3	target.angle.4
0.175	-0.810	-0.030	0.353	0.036	0.000	-0.272	0.178	-0.809	0.000
0.174	-0.810	-0.030	0.353	0.037	0.000	-0.277	0.175	-0.810	0.000
0.171	-0.810	-0.030	0.352	0.037	0.000	-0.283	0.174	-0.810	0.000
0.168	-0.811	-0.030	0.350	0.037	0.000	-0.286	0.171	-0.810	0.000
0.166	-0.811	-0.031	0.350	0.037	0.000	-0.288	0.168	-0.811	0.000
0.164	-0.811	-0.031	0.349	0.038	0.000	-0.293	0.166	-0.811	0.000
0.160	-0.812	-0.031	0.348	0.038	0.000	-0.298	0.164	-0.811	0.000
0.156	-0.812	-0.031	0.345	0.037	0.000	-0.302	0.160	-0.812	0.000
0.155	-0.813	-0.031	0.343	0.038	0.000	-0.302	0.156	-0.812	0.000
0.151	-0.813	-0.032	0.340	0.039	0.000	-0.304	0.155	-0.813	0.000
0.149	-0.813	-0.032	0.338	0.039	0.000	-0.306	0.151	-0.813	0.000
0.145	-0.814	-0.032	0.334	0.039	0.000	-0.309	0.149	-0.813	0.000
0.142	-0.815	-0.032	0.331	0.039	0.000	-0.310	0.145	-0.814	0.000
0.139	-0.815	-0.033	0.329	0.040	0.000	-0.311	0.142	-0.815	0.000
0.138	-0.815	-0.033	0.327	0.040	0.000	-0.311	0.139	-0.815	0.000
0.134	-0.816	-0.033	0.323	0.040	0.000	-0.313	0.138	-0.815	0.000
0.130	-0.817	-0.033	0.319	0.040	0.000	-0.314	0.134	-0.816	0.000
0.128	-0.817	-0.033	0.317	0.040	0.000	-0.314	0.130	-0.817	0.000
0.126	-0.817	-0.033	0.314	0.040	0.000	-0.314	0.128	-0.817	0.000
0.124	-0.818	-0.033	0.311	0.040	0.000	-0.314	0.126	-0.817	0.000
0.120	-0.818	-0.032	0.307	0.039	0.000	-0.314	0.124	-0.818	0.000
0.117	-0.819	-0.032	0.303	0.039	0.000	-0.315	0.120	-0.818	0.000
0.115	-0.819	-0.032	0.300	0.039	0.000	-0.315	0.117	-0.819	0.000
0.112	-0.819	-0.032	0.297	0.039	0.000	-0.315	0.115	-0.819	0.000
0.109	-0.820	-0.032	0.293	0.039	0.000	-0.315	0.112	-0.819	0.000
0.104	-0.821	-0.032	0.288	0.039	0.000	-0.315	0.109	-0.820	0.000
0.102	-0.821	-0.032	0.285	0.039	0.000	-0.315	0.104	-0.821	0.000
0.100	-0.821	-0.032	0.282	0.039	0.000	-0.314	0.102	-0.821	0.000
